,Brand,Categorie,Description,Name,Photo,Price
102, CoilArt,e_cigarette,,Kit Mage Mech Tricker - CoilArt,https://www.evaps.fr/documents/media/images/contenu/kit-mage-mech-tricker-coilart.jpg,69.90
77,Priv 230W - Smoktech,e_cigarette,Laissez place à la somptueuse Box S Priv de Smoktech !,Box S-Priv 230W - Smoktech,https://www.evaps.fr/documents/media/images/contenu/box-s-priv-smoktech-230w.jpg,56.90
82, Vaporesso,e_cigarette,Succombez au redoutable charme du kit Switcher de Vaporesso.,Kit Switcher 220W - Vaporesso,https://www.evaps.fr/documents/media/images/contenu/kit-switcher-vaporesso-220w.jpg,79.90
250, Petit Nuage,e_liquide,Le eliquide Flocon Pressé Petit Nuage 60ml ❤ est un doux rappel des saveurs de notre enfance ▶ sucrées et fruitées.,Flocon Pressé 60ml - Petit Nuage,https://www.evaps.fr/documents/media/images/contenu/flocon-presse-petit-nuage.jpg,24.90
109, Eleaf,e_cigarette,,Ikonn Total / Ello Mini XL - Eleaf,https://www.evaps.fr/documents/media/images/contenu/ikonn-total-ello-mini-xl-eleaf.jpg,43.90
303, Full Moon,e_liquide,"Voyagez avec le e-liquide Full Moon Red ❤ : un savant mélange de mangue et d'ananas, parsemé de fruits rouges.",E liquide Red 50ml - Full Moon,https://www.evaps.fr/documents/media/images/contenu/e-liquide-red-full-moon-50ml.jpg,19.90
239, Aqua,e_liquide,"Rafraîchissez vos papilles avec le e liquide Mist Ice Aqua ❤ ce succulent et savant mélange de pomme associé à de la pêche et du kiwi, le tout rehaussé par un menthol frais et intense. ",Mist Ice 50ml - Aqua,https://www.evaps.fr/documents/media/images/contenu/mist-ice-50ml-aqua.jpg,19.90
41, Joyetech,e_cigarette,Le Kit Evic Primo Fit Joyetech ❤ est le coffret de cigarette électronique format box idéal ✔ pour les primo-vapoteurs en quête d'un ▶ kit compact et ▶ évolutif.,Kit Evic Primo Fit 80W - Joyetech,https://www.evaps.fr/documents/media/images/contenu/kit-evic-primo-fit-joyetech.jpg,68.90
402, Swag Juice,diy,Retombez en enfance avec l'arôme Macaque Fruit Gummy Swag Juice Remix ❤,Concentré Macaque 10ml - Swag Juice,https://www.evaps.fr/documents/media/images/contenu/concentre-macaque-swag-juice.jpg,5.90
2, Modefined Lost Vape ,e_cigarette,"Issue de la collaboration entre les deux marques Modefined et Lost Vape, la Draco 200W Modefined ★ est une box combinant puissance, fiabilité et look ravageur. Difficile en effet de passer inaperçu avec la Draco 200W TC Lost Vape ! Son design rappelant un outil de contrôle futuriste est très réussi et plaira à de nombreux vapoteurs.",Draco 200W - Modefined Lost Vape ,https://www.evaps.fr/documents/media/images/contenu/modefined-draco-tc-200w-lost-vape.jpg,59.90
427, Halo White label,diy,"Votre arôme DIY Halo préféré doit avoir les saveurs d'un délicieux tabac classique Turque ? Alors n'hésitez plus, l'arôme Black Diamond Halo White Label est fait pour vous ! ❤",Arôme Black Diamond - Halo White label,https://www.evaps.fr/documents/media/images/contenu/black-diamond-halo-arome-white-label.jpg,4.90
6, Justfog,e_cigarette,Le P16A Kit VV Justfog ★ est un kit de cigarette électronique simple et efficace.,Kit P16A - Justfog,https://www.evaps.fr/documents/media/images/contenu/kit-p16a-justfog.jpg,25.90
107, Wismec,e_cigarette,,Box Sinuous P80 - Wismec,https://www.evaps.fr/documents/media/images/contenu/box-sinuous-p80-wismec.jpg,42.90
199, Danger Swoke,e_liquide,Attention à sa piqûre ❤ le e liquide français Mosquito Danger de Swoke 50ml ne cessera de vous démanger ✔,Mosquito - Danger Swoke,https://www.evaps.fr/documents/media/images/contenu/e-liquide-mosquito-swoke.jpg,24.90
432, Hold Up,diy,Cambriolez vos sens avec le Jack Pot de la gamme d'arômes concentrés Hold Up ©. Une gamme développée par Bordo2 qui saura prendre vos papilles en otage.,Concentré Jack Pot - Hold Up,https://www.evaps.fr/documents/media/images/contenu/concentre-jack-pot-hold-up.jpg,5.90
312, Vape Palace,diy,L'arôme Room 439 Vape Palace ❤ va faire fondre de plaisir vos sens. Sa recette de vanille custard onctueuse et savoureuse va faire baver plus d'un vapoteur gourmand.,Room 439 30ml - Vape Palace,https://www.evaps.fr/documents/media/images/contenu/room-439-30ml-vape-palace.jpg,13.90
